feature_1,feature_2,team_number
39,15,4
81,15,0
6,16,4
77,16,0
40,17,4
76,17,0
6,18,4
94,18,0
3,19,4
72,19,0
14,19,4
99,19,0
15,20,4
77,20,0
13,20,4
79,20,0
35,21,4
66,21,0
29,23,4
98,23,0
35,24,4
73,24,0
5,25,4
73,25,0
14,28,4
82,28,0
32,28,4
61,28,0
31,29,4
87,29,0
4,30,4
73,30,0
4,33,4
92,33,0
14,33,4
81,33,0
17,34,4
73,34,0
26,37,4
75,37,0
35,38,4
92,38,0
36,39,4
61,39,3
28,39,4
65,39,0
55,40,3
47,40,3
42,40,3
42,40,3
52,42,3
60,42,3
54,43,3
60,43,3
45,43,3
41,43,3
50,44,3
46,44,3
51,46,3
46,46,3
56,46,3
55,46,3
52,47,3
59,47,3
51,48,3
59,48,3
50,48,3
48,48,3
59,48,3
47,48,3
55,49,3
42,49,3
49,50,3
56,50,3
47,54,3
54,54,3
53,54,3
48,54,3
52,54,3
42,54,3
51,54,3
55,54,3
41,54,3
44,54,3
57,54,3
46,54,3
58,57,3
55,57,3
60,58,3
46,58,3
55,59,3
41,59,3
49,60,3
40,60,3
42,60,3
52,60,3
47,60,3
50,60,3
42,61,3
49,61,3
41,62,3
48,62,3
59,62,3
55,62,3
56,62,3
42,62,3
50,63,3
46,63,3
43,63,3
48,63,3
52,63,3
54,63,3
42,64,3
46,64,3
48,65,3
50,65,3
43,65,3
59,65,3
43,67,3
57,67,3
56,67,3
40,67,3
58,69,3
91,69,1
29,70,2
77,70,1
35,71,3
95,71,1
11,71,2
75,71,1
9,71,2
75,71,1
34,72,3
71,72,1
5,73,2
88,73,1
7,73,2
73,73,1
10,74,2
72,74,1
5,75,2
93,75,1
40,76,3
87,76,1
12,77,2
97,77,1
36,77,2
74,77,1
22,78,2
90,78,1
17,78,2
88,78,1
20,78,2
76,78,1
16,78,2
89,78,1
1,78,2
78,78,1
1,78,2
73,78,1
35,79,2
83,79,1
5,81,2
93,81,1
26,85,2
75,85,1
20,86,2
95,86,1
27,87,2
63,87,1
13,87,2
75,87,1
10,87,2
92,87,1
13,88,2
86,88,1
15,88,2
69,88,1
14,93,2
90,93,1
32,97,2
86,97,1
15,98,2
88,98,1
39,99,2
97,99,1
24,101,2
68,101,1
17,103,2
85,103,1
23,103,2
69,103,1
8,113,2
91,113,1
16,120,2
79,120,1
28,126,2
74,126,1
18,137,2
83,137,1
